model_key,model_name,checkpoint_name,condition_name,n,conflict_aligned_n,conflict_aligned_rate,conflict_aligned_rate_ci_low,conflict_aligned_rate_ci_high,hallucination_rate,hallucination_rate_ci_low,hallucination_rate_ci_high,faithful_n,faithful_rate,faithful_rate_ci_low,faithful_rate_ci_high,other_wrong_n,other_wrong_rate,other_wrong_rate_ci_low,other_wrong_rate_ci_high,refusal_or_correction_n,refusal_or_correction_rate,parse_error_n,parse_error_rate,in_allowed_answer_space_n,answer_space_compliance_rate,answer_space_compliance_ci_low,answer_space_compliance_ci_high,out_of_allowed_answer_space_n,out_of_allowed_answer_space_rate,in_space_conflict_aligned_n,in_space_conflict_aligned_rate,out_of_space_faithful_n,out_of_space_faithful_rate,other_answer_space_behavior_n,other_answer_space_behavior_rate
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C0_neutral,300,0,0.0,0.0,0.012220974694293554,0.0,0.0,0.012220974694293554,300,1.0,0.9877790253057065,1.0,0,0.0,0.0,0.012220974694293554,0,0.0,0,0.0,300,1.0,0.9877790253057065,1.0,0,0.0,0,0.0,0,0.0,300,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C1_weak_suggestion,300,0,0.0,0.0,0.012220974694293554,0.0,0.0,0.012220974694293554,300,1.0,0.9877790253057065,1.0,0,0.0,0.0,0.012220974694293554,0,0.0,0,0.0,300,1.0,0.9877790253057065,1.0,0,0.0,0,0.0,0,0.0,300,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C2_false_assertion_open,300,0,0.0,0.0,0.012220974694293554,0.0,0.0,0.012220974694293554,300,1.0,0.9877790253057065,1.0,0,0.0,0.0,0.012220974694293554,0,0.0,0,0.0,300,1.0,0.9877790253057065,1.0,0,0.0,0,0.0,0,0.0,300,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,300,1,0.0033333333333333335,8.438913231780044e-05,0.018431252048067885,0.0033333333333333335,8.438913231780044e-05,0.018431252048067885,299,0.9966666666666667,0.9815687479519322,0.9999156108676822,0,0.0,0.0,0.012220974694293554,0,0.0,0,0.0,300,1.0,0.9877790253057065,1.0,0,0.0,1,0.0033333333333333335,0,0.0,299,0.9966666666666667
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,300,1,0.0033333333333333335,8.438913231780044e-05,0.018431252048067885,0.0033333333333333335,8.438913231780044e-05,0.018431252048067885,299,0.9966666666666667,0.9815687479519322,0.9999156108676822,0,0.0,0.0,0.012220974694293554,0,0.0,0,0.0,300,1.0,0.9877790253057065,1.0,0,0.0,1,0.0033333333333333335,0,0.0,299,0.9966666666666667
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C0_neutral,300,0,0.0,0.0,0.012220974694293554,0.0,0.0,0.012220974694293554,300,1.0,0.9877790253057065,1.0,0,0.0,0.0,0.012220974694293554,0,0.0,0,0.0,300,1.0,0.9877790253057065,1.0,0,0.0,0,0.0,0,0.0,300,1.0
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C1_weak_suggestion,300,1,0.0033333333333333335,8.438913231780044e-05,0.018431252048067885,0.0033333333333333335,8.438913231780044e-05,0.018431252048067885,299,0.9966666666666667,0.9815687479519322,0.9999156108676822,0,0.0,0.0,0.012220974694293554,0,0.0,0,0.0,300,1.0,0.9877790253057065,1.0,0,0.0,1,0.0033333333333333335,0,0.0,299,0.9966666666666667
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C2_false_assertion_open,300,3,0.01,0.0020670072350923163,0.02894451125569261,0.01,0.0020670072350923163,0.02894451125569261,297,0.99,0.9710554887443074,0.9979329927649077,0,0.0,0.0,0.012220974694293554,0,0.0,0,0.0,300,1.0,0.9877790253057065,1.0,0,0.0,3,0.01,0,0.0,297,0.99
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C3_presupposition_correction_allowed,300,27,0.09,0.06014952983765153,0.1282425087732983,0.09,0.06014952983765153,0.1282425087732983,273,0.91,0.8717574912267017,0.9398504701623485,0,0.0,0.0,0.012220974694293554,0,0.0,0,0.0,300,1.0,0.9877790253057065,1.0,0,0.0,27,0.09,0,0.0,273,0.91
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C4_stronger_open_conflict,300,10,0.03333333333333333,0.016098167562619323,0.060445322201265604,0.03333333333333333,0.016098167562619323,0.060445322201265604,290,0.9666666666666667,0.9395546777987344,0.9839018324373807,0,0.0,0.0,0.012220974694293554,0,0.0,0,0.0,300,1.0,0.9877790253057065,1.0,0,0.0,10,0.03333333333333333,0,0.0,290,0.9666666666666667
internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,C0_neutral,300,0,0.0,0.0,0.012220974694293554,0.0,0.0,0.012220974694293554,300,1.0,0.9877790253057065,1.0,0,0.0,0.0,0.012220974694293554,0,0.0,0,0.0,300,1.0,0.9877790253057065,1.0,0,0.0,0,0.0,0,0.0,300,1.0
internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,C1_weak_suggestion,300,0,0.0,0.0,0.012220974694293554,0.0,0.0,0.012220974694293554,300,1.0,0.9877790253057065,1.0,0,0.0,0.0,0.012220974694293554,0,0.0,0,0.0,300,1.0,0.9877790253057065,1.0,0,0.0,0,0.0,0,0.0,300,1.0
internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,C2_false_assertion_open,300,0,0.0,0.0,0.012220974694293554,0.0,0.0,0.012220974694293554,300,1.0,0.9877790253057065,1.0,0,0.0,0.0,0.012220974694293554,0,0.0,0,0.0,300,1.0,0.9877790253057065,1.0,0,0.0,0,0.0,0,0.0,300,1.0
internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,C3_presupposition_correction_allowed,300,0,0.0,0.0,0.012220974694293554,0.0,0.0,0.012220974694293554,300,1.0,0.9877790253057065,1.0,0,0.0,0.0,0.012220974694293554,0,0.0,0,0.0,300,1.0,0.9877790253057065,1.0,0,0.0,0,0.0,0,0.0,300,1.0
internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,C4_stronger_open_conflict,300,0,0.0,0.0,0.012220974694293554,0.0,0.0,0.012220974694293554,300,1.0,0.9877790253057065,1.0,0,0.0,0.0,0.012220974694293554,0,0.0,0,0.0,300,1.0,0.9877790253057065,1.0,0,0.0,0,0.0,0,0.0,300,1.0
