image_id,cropped_path,original_path,reviewed_true_color,acceptable_true_colors,include_in_formal_analysis,review_status,review_notes
test_05126,data/processed/stanford_cars/clean_crops/test_05126.jpg,data/raw/stanford_cars/cars_test/05126.jpg,,,,,
train_06380,data/processed/stanford_cars/clean_crops/train_06380.jpg,data/raw/stanford_cars/cars_train/06380.jpg,,,,,
test_06382,data/processed/stanford_cars/clean_crops/test_06382.jpg,data/raw/stanford_cars/cars_test/06382.jpg,,,,,
train_07828,data/processed/stanford_cars/clean_crops/train_07828.jpg,data/raw/stanford_cars/cars_train/07828.jpg,,,,,
test_03751,data/processed/stanford_cars/clean_crops/test_03751.jpg,data/raw/stanford_cars/cars_test/03751.jpg,,,,,
test_03302,data/processed/stanford_cars/clean_crops/test_03302.jpg,data/raw/stanford_cars/cars_test/03302.jpg,,,,,
train_01446,data/processed/stanford_cars/clean_crops/train_01446.jpg,data/raw/stanford_cars/cars_train/01446.jpg,,,,,
test_02874,data/processed/stanford_cars/clean_crops/test_02874.jpg,data/raw/stanford_cars/cars_test/02874.jpg,,,,,
train_01561,data/processed/stanford_cars/clean_crops/train_01561.jpg,data/raw/stanford_cars/cars_train/01561.jpg,,,,,
train_05311,data/processed/stanford_cars/clean_crops/train_05311.jpg,data/raw/stanford_cars/cars_train/05311.jpg,,,,,
test_06328,data/processed/stanford_cars/clean_crops/test_06328.jpg,data/raw/stanford_cars/cars_test/06328.jpg,,,,,
test_07373,data/processed/stanford_cars/clean_crops/test_07373.jpg,data/raw/stanford_cars/cars_test/07373.jpg,,,,,
test_07372,data/processed/stanford_cars/clean_crops/test_07372.jpg,data/raw/stanford_cars/cars_test/07372.jpg,,,,,
test_06383,data/processed/stanford_cars/clean_crops/test_06383.jpg,data/raw/stanford_cars/cars_test/06383.jpg,,,,,
train_02608,data/processed/stanford_cars/clean_crops/train_02608.jpg,data/raw/stanford_cars/cars_train/02608.jpg,,,,,
train_07332,data/processed/stanford_cars/clean_crops/train_07332.jpg,data/raw/stanford_cars/cars_train/07332.jpg,,,,,
train_03820,data/processed/stanford_cars/clean_crops/train_03820.jpg,data/raw/stanford_cars/cars_train/03820.jpg,,,,,
test_03234,data/processed/stanford_cars/clean_crops/test_03234.jpg,data/raw/stanford_cars/cars_test/03234.jpg,,,,,
test_04952,data/processed/stanford_cars/clean_crops/test_04952.jpg,data/raw/stanford_cars/cars_test/04952.jpg,,,,,
train_01144,data/processed/stanford_cars/clean_crops/train_01144.jpg,data/raw/stanford_cars/cars_train/01144.jpg,,,,,
train_05058,data/processed/stanford_cars/clean_crops/train_05058.jpg,data/raw/stanford_cars/cars_train/05058.jpg,,,,,
train_05584,data/processed/stanford_cars/clean_crops/train_05584.jpg,data/raw/stanford_cars/cars_train/05584.jpg,,,,,
train_04796,data/processed/stanford_cars/clean_crops/train_04796.jpg,data/raw/stanford_cars/cars_train/04796.jpg,,,,,
train_03809,data/processed/stanford_cars/clean_crops/train_03809.jpg,data/raw/stanford_cars/cars_train/03809.jpg,,,,,
train_07139,data/processed/stanford_cars/clean_crops/train_07139.jpg,data/raw/stanford_cars/cars_train/07139.jpg,,,,,
test_01536,data/processed/stanford_cars/clean_crops/test_01536.jpg,data/raw/stanford_cars/cars_test/01536.jpg,,,,,
train_04125,data/processed/stanford_cars/clean_crops/train_04125.jpg,data/raw/stanford_cars/cars_train/04125.jpg,,,,,
test_06787,data/processed/stanford_cars/clean_crops/test_06787.jpg,data/raw/stanford_cars/cars_test/06787.jpg,,,,,
test_00601,data/processed/stanford_cars/clean_crops/test_00601.jpg,data/raw/stanford_cars/cars_test/00601.jpg,,,,,
test_05003,data/processed/stanford_cars/clean_crops/test_05003.jpg,data/raw/stanford_cars/cars_test/05003.jpg,,,,,
test_03602,data/processed/stanford_cars/clean_crops/test_03602.jpg,data/raw/stanford_cars/cars_test/03602.jpg,,,,,
test_04145,data/processed/stanford_cars/clean_crops/test_04145.jpg,data/raw/stanford_cars/cars_test/04145.jpg,,,,,
test_05992,data/processed/stanford_cars/clean_crops/test_05992.jpg,data/raw/stanford_cars/cars_test/05992.jpg,,,,,
test_03893,data/processed/stanford_cars/clean_crops/test_03893.jpg,data/raw/stanford_cars/cars_test/03893.jpg,,,,,
train_05272,data/processed/stanford_cars/clean_crops/train_05272.jpg,data/raw/stanford_cars/cars_train/05272.jpg,,,,,
test_03801,data/processed/stanford_cars/clean_crops/test_03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,,,,,
test_06909,data/processed/stanford_cars/clean_crops/test_06909.jpg,data/raw/stanford_cars/cars_test/06909.jpg,,,,,
train_00966,data/processed/stanford_cars/clean_crops/train_00966.jpg,data/raw/stanford_cars/cars_train/00966.jpg,,,,,
test_06418,data/processed/stanford_cars/clean_crops/test_06418.jpg,data/raw/stanford_cars/cars_test/06418.jpg,,,,,
test_06865,data/processed/stanford_cars/clean_crops/test_06865.jpg,data/raw/stanford_cars/cars_test/06865.jpg,,,,,
test_03269,data/processed/stanford_cars/clean_crops/test_03269.jpg,data/raw/stanford_cars/cars_test/03269.jpg,,,,,
train_02901,data/processed/stanford_cars/clean_crops/train_02901.jpg,data/raw/stanford_cars/cars_train/02901.jpg,,,,,
test_06420,data/processed/stanford_cars/clean_crops/test_06420.jpg,data/raw/stanford_cars/cars_test/06420.jpg,,,,,
train_02117,data/processed/stanford_cars/clean_crops/train_02117.jpg,data/raw/stanford_cars/cars_train/02117.jpg,,,,,
train_01610,data/processed/stanford_cars/clean_crops/train_01610.jpg,data/raw/stanford_cars/cars_train/01610.jpg,,,,,
test_01593,data/processed/stanford_cars/clean_crops/test_01593.jpg,data/raw/stanford_cars/cars_test/01593.jpg,,,,,
test_01195,data/processed/stanford_cars/clean_crops/test_01195.jpg,data/raw/stanford_cars/cars_test/01195.jpg,,,,,
train_05653,data/processed/stanford_cars/clean_crops/train_05653.jpg,data/raw/stanford_cars/cars_train/05653.jpg,,,,,
train_06345,data/processed/stanford_cars/clean_crops/train_06345.jpg,data/raw/stanford_cars/cars_train/06345.jpg,,,,,
train_06150,data/processed/stanford_cars/clean_crops/train_06150.jpg,data/raw/stanford_cars/cars_train/06150.jpg,,,,,
train_00483,data/processed/stanford_cars/clean_crops/train_00483.jpg,data/raw/stanford_cars/cars_train/00483.jpg,,,,,
test_01672,data/processed/stanford_cars/clean_crops/test_01672.jpg,data/raw/stanford_cars/cars_test/01672.jpg,,,,,
test_03891,data/processed/stanford_cars/clean_crops/test_03891.jpg,data/raw/stanford_cars/cars_test/03891.jpg,,,,,
train_08107,data/processed/stanford_cars/clean_crops/train_08107.jpg,data/raw/stanford_cars/cars_train/08107.jpg,,,,,
test_01497,data/processed/stanford_cars/clean_crops/test_01497.jpg,data/raw/stanford_cars/cars_test/01497.jpg,,,,,
train_07371,data/processed/stanford_cars/clean_crops/train_07371.jpg,data/raw/stanford_cars/cars_train/07371.jpg,,,,,
train_00771,data/processed/stanford_cars/clean_crops/train_00771.jpg,data/raw/stanford_cars/cars_train/00771.jpg,,,,,
test_03590,data/processed/stanford_cars/clean_crops/test_03590.jpg,data/raw/stanford_cars/cars_test/03590.jpg,,,,,
train_00211,data/processed/stanford_cars/clean_crops/train_00211.jpg,data/raw/stanford_cars/cars_train/00211.jpg,,,,,
test_01104,data/processed/stanford_cars/clean_crops/test_01104.jpg,data/raw/stanford_cars/cars_test/01104.jpg,,,,,
test_06344,data/processed/stanford_cars/clean_crops/test_06344.jpg,data/raw/stanford_cars/cars_test/06344.jpg,,,,,
test_05596,data/processed/stanford_cars/clean_crops/test_05596.jpg,data/raw/stanford_cars/cars_test/05596.jpg,,,,,
test_07040,data/processed/stanford_cars/clean_crops/test_07040.jpg,data/raw/stanford_cars/cars_test/07040.jpg,,,,,
test_03550,data/processed/stanford_cars/clean_crops/test_03550.jpg,data/raw/stanford_cars/cars_test/03550.jpg,,,,,
test_04688,data/processed/stanford_cars/clean_crops/test_04688.jpg,data/raw/stanford_cars/cars_test/04688.jpg,,,,,
test_02679,data/processed/stanford_cars/clean_crops/test_02679.jpg,data/raw/stanford_cars/cars_test/02679.jpg,,,,,
test_03419,data/processed/stanford_cars/clean_crops/test_03419.jpg,data/raw/stanford_cars/cars_test/03419.jpg,,,,,
train_03771,data/processed/stanford_cars/clean_crops/train_03771.jpg,data/raw/stanford_cars/cars_train/03771.jpg,,,,,
test_00516,data/processed/stanford_cars/clean_crops/test_00516.jpg,data/raw/stanford_cars/cars_test/00516.jpg,,,,,
test_05360,data/processed/stanford_cars/clean_crops/test_05360.jpg,data/raw/stanford_cars/cars_test/05360.jpg,,,,,
test_02405,data/processed/stanford_cars/clean_crops/test_02405.jpg,data/raw/stanford_cars/cars_test/02405.jpg,,,,,
train_02205,data/processed/stanford_cars/clean_crops/train_02205.jpg,data/raw/stanford_cars/cars_train/02205.jpg,,,,,
test_07222,data/processed/stanford_cars/clean_crops/test_07222.jpg,data/raw/stanford_cars/cars_test/07222.jpg,,,,,
train_05942,data/processed/stanford_cars/clean_crops/train_05942.jpg,data/raw/stanford_cars/cars_train/05942.jpg,,,,,
train_06365,data/processed/stanford_cars/clean_crops/train_06365.jpg,data/raw/stanford_cars/cars_train/06365.jpg,,,,,
train_02396,data/processed/stanford_cars/clean_crops/train_02396.jpg,data/raw/stanford_cars/cars_train/02396.jpg,,,,,
test_06162,data/processed/stanford_cars/clean_crops/test_06162.jpg,data/raw/stanford_cars/cars_test/06162.jpg,,,,,
train_00925,data/processed/stanford_cars/clean_crops/train_00925.jpg,data/raw/stanford_cars/cars_train/00925.jpg,,,,,
test_00667,data/processed/stanford_cars/clean_crops/test_00667.jpg,data/raw/stanford_cars/cars_test/00667.jpg,,,,,
train_02863,data/processed/stanford_cars/clean_crops/train_02863.jpg,data/raw/stanford_cars/cars_train/02863.jpg,,,,,
train_06236,data/processed/stanford_cars/clean_crops/train_06236.jpg,data/raw/stanford_cars/cars_train/06236.jpg,,,,,
test_05875,data/processed/stanford_cars/clean_crops/test_05875.jpg,data/raw/stanford_cars/cars_test/05875.jpg,,,,,
test_08002,data/processed/stanford_cars/clean_crops/test_08002.jpg,data/raw/stanford_cars/cars_test/08002.jpg,,,,,
test_04242,data/processed/stanford_cars/clean_crops/test_04242.jpg,data/raw/stanford_cars/cars_test/04242.jpg,,,,,
test_03719,data/processed/stanford_cars/clean_crops/test_03719.jpg,data/raw/stanford_cars/cars_test/03719.jpg,,,,,
test_02925,data/processed/stanford_cars/clean_crops/test_02925.jpg,data/raw/stanford_cars/cars_test/02925.jpg,,,,,
train_00913,data/processed/stanford_cars/clean_crops/train_00913.jpg,data/raw/stanford_cars/cars_train/00913.jpg,,,,,
train_00046,data/processed/stanford_cars/clean_crops/train_00046.jpg,data/raw/stanford_cars/cars_train/00046.jpg,,,,,
test_01561,data/processed/stanford_cars/clean_crops/test_01561.jpg,data/raw/stanford_cars/cars_test/01561.jpg,,,,,
test_06708,data/processed/stanford_cars/clean_crops/test_06708.jpg,data/raw/stanford_cars/cars_test/06708.jpg,,,,,
test_08030,data/processed/stanford_cars/clean_crops/test_08030.jpg,data/raw/stanford_cars/cars_test/08030.jpg,,,,,
test_07534,data/processed/stanford_cars/clean_crops/test_07534.jpg,data/raw/stanford_cars/cars_test/07534.jpg,,,,,
train_01346,data/processed/stanford_cars/clean_crops/train_01346.jpg,data/raw/stanford_cars/cars_train/01346.jpg,,,,,
test_05438,data/processed/stanford_cars/clean_crops/test_05438.jpg,data/raw/stanford_cars/cars_test/05438.jpg,,,,,
train_03125,data/processed/stanford_cars/clean_crops/train_03125.jpg,data/raw/stanford_cars/cars_train/03125.jpg,,,,,
train_06880,data/processed/stanford_cars/clean_crops/train_06880.jpg,data/raw/stanford_cars/cars_train/06880.jpg,,,,,
train_04878,data/processed/stanford_cars/clean_crops/train_04878.jpg,data/raw/stanford_cars/cars_train/04878.jpg,,,,,
test_00209,data/processed/stanford_cars/clean_crops/test_00209.jpg,data/raw/stanford_cars/cars_test/00209.jpg,,,,,
train_03515,data/processed/stanford_cars/clean_crops/train_03515.jpg,data/raw/stanford_cars/cars_train/03515.jpg,,,,,
train_06464,data/processed/stanford_cars/clean_crops/train_06464.jpg,data/raw/stanford_cars/cars_train/06464.jpg,,,,,
train_01310,data/processed/stanford_cars/clean_crops/train_01310.jpg,data/raw/stanford_cars/cars_train/01310.jpg,,,,,
test_04721,data/processed/stanford_cars/clean_crops/test_04721.jpg,data/raw/stanford_cars/cars_test/04721.jpg,,,,,
train_05773,data/processed/stanford_cars/clean_crops/train_05773.jpg,data/raw/stanford_cars/cars_train/05773.jpg,,,,,
test_01993,data/processed/stanford_cars/clean_crops/test_01993.jpg,data/raw/stanford_cars/cars_test/01993.jpg,,,,,
test_05228,data/processed/stanford_cars/clean_crops/test_05228.jpg,data/raw/stanford_cars/cars_test/05228.jpg,,,,,
train_01358,data/processed/stanford_cars/clean_crops/train_01358.jpg,data/raw/stanford_cars/cars_train/01358.jpg,,,,,
train_02890,data/processed/stanford_cars/clean_crops/train_02890.jpg,data/raw/stanford_cars/cars_train/02890.jpg,,,,,
test_04452,data/processed/stanford_cars/clean_crops/test_04452.jpg,data/raw/stanford_cars/cars_test/04452.jpg,,,,,
train_02408,data/processed/stanford_cars/clean_crops/train_02408.jpg,data/raw/stanford_cars/cars_train/02408.jpg,,,,,
test_03865,data/processed/stanford_cars/clean_crops/test_03865.jpg,data/raw/stanford_cars/cars_test/03865.jpg,,,,,
train_03134,data/processed/stanford_cars/clean_crops/train_03134.jpg,data/raw/stanford_cars/cars_train/03134.jpg,,,,,
train_07790,data/processed/stanford_cars/clean_crops/train_07790.jpg,data/raw/stanford_cars/cars_train/07790.jpg,,,,,
train_01917,data/processed/stanford_cars/clean_crops/train_01917.jpg,data/raw/stanford_cars/cars_train/01917.jpg,,,,,
test_05187,data/processed/stanford_cars/clean_crops/test_05187.jpg,data/raw/stanford_cars/cars_test/05187.jpg,,,,,
train_04049,data/processed/stanford_cars/clean_crops/train_04049.jpg,data/raw/stanford_cars/cars_train/04049.jpg,,,,,
train_03923,data/processed/stanford_cars/clean_crops/train_03923.jpg,data/raw/stanford_cars/cars_train/03923.jpg,,,,,
train_05759,data/processed/stanford_cars/clean_crops/train_05759.jpg,data/raw/stanford_cars/cars_train/05759.jpg,,,,,
test_00392,data/processed/stanford_cars/clean_crops/test_00392.jpg,data/raw/stanford_cars/cars_test/00392.jpg,,,,,
train_06414,data/processed/stanford_cars/clean_crops/train_06414.jpg,data/raw/stanford_cars/cars_train/06414.jpg,,,,,
train_00272,data/processed/stanford_cars/clean_crops/train_00272.jpg,data/raw/stanford_cars/cars_train/00272.jpg,,,,,
