sample_id,image_id,file_name,image_path,original_image_path,experiment_type,dataset_name,target_object,attribute_type,truth_source,true_color,acceptable_true_colors,conflict_color,condition_family,condition_name,condition_index,prompt_template_version,prompt_text,expected_output_space,expected_output_map,include_in_primary_main_analysis,notes,model_key,model_name,checkpoint_name,precision,device,device_map,batch_size,elapsed_seconds,raw_output,status,error,prompt_level
test_03234_A1_forced_choice_red_family,test_03234,test_03234.jpg,data/processed/stanford_cars/clean_crops/test_03234.jpg,data/raw/stanford_cars/cars_test/03234.jpg,car_color_prompt_mechanism_comparison_v3_expanded_strict_colors,stanford_cars_clean_strict_colors_v3,the main car,primary body color,reviewed,black,,white,auxiliary,A1_forced_choice_red_family,5,auxiliary_conditions_v2_strict_colors,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {white, off-white, bright white}. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",yes,Restricted answer space around the conflict-color family.,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,7.2550,bright white,ok,,
test_03234_A2_counterfactual_assumption,test_03234,test_03234.jpg,data/processed/stanford_cars/clean_crops/test_03234.jpg,data/raw/stanford_cars/cars_test/03234.jpg,car_color_prompt_mechanism_comparison_v3_expanded_strict_colors,stanford_cars_clean_strict_colors_v3,the main car,primary body color,reviewed,black,,white,auxiliary,A2_counterfactual_assumption,6,auxiliary_conditions_v2_strict_colors,"Assuming the main car is in the white family, choose exactly one label from {white, off-white, bright white}. Do not explain. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",yes,Counterfactual continuation that explicitly preserves the false color premise.,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.8480,white,ok,,
test_03234_C0_neutral,test_03234,test_03234.jpg,data/processed/stanford_cars/clean_crops/test_03234.jpg,data/raw/stanford_cars/cars_test/03234.jpg,car_color_prompt_mechanism_comparison_v3_expanded_strict_colors,stanford_cars_clean_strict_colors_v3,the main car,primary body color,reviewed,black,,white,primary,C0_neutral,0,primary_conditions_v2_strict_colors,"What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,Neutral open-answer prompt about the main car's primary body color.,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.8564,black,ok,,
test_03234_C1_weak_suggestion,test_03234,test_03234.jpg,data/processed/stanford_cars/clean_crops/test_03234.jpg,data/raw/stanford_cars/cars_test/03234.jpg,car_color_prompt_mechanism_comparison_v3_expanded_strict_colors,stanford_cars_clean_strict_colors_v3,the main car,primary body color,reviewed,black,,white,primary,C1_weak_suggestion,1,primary_conditions_v2_strict_colors,"Some people might describe the main car as white. What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,Open-answer prompt with a light suggestion toward the conflict color.,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.8178,black,ok,,
test_03234_C2_false_assertion_open,test_03234,test_03234.jpg,data/processed/stanford_cars/clean_crops/test_03234.jpg,data/raw/stanford_cars/cars_test/03234.jpg,car_color_prompt_mechanism_comparison_v3_expanded_strict_colors,stanford_cars_clean_strict_colors_v3,the main car,primary body color,reviewed,black,,white,primary,C2_false_assertion_open,2,primary_conditions_v2_strict_colors,"A prior note says the main car is white. What is the primary body color of the main car in the image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,"Open-answer prompt that states an incorrect color claim, then asks for the actual color.",internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.8053,black,ok,,
test_03234_C3_presupposition_correction_allowed,test_03234,test_03234.jpg,data/processed/stanford_cars/clean_crops/test_03234.jpg,data/raw/stanford_cars/cars_test/03234.jpg,car_color_prompt_mechanism_comparison_v3_expanded_strict_colors,stanford_cars_clean_strict_colors_v3,the main car,primary body color,reviewed,black,,white,primary,C3_presupposition_correction_allowed,3,primary_conditions_v2_strict_colors,"When the main car is described as white, what color does the main car actually appear to be in the image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,Open-answer prompt with a false presupposition while leaving room for correction.,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.8161,black,ok,,
test_03234_C4_stronger_open_conflict,test_03234,test_03234.jpg,data/processed/stanford_cars/clean_crops/test_03234.jpg,data/raw/stanford_cars/cars_test/03234.jpg,car_color_prompt_mechanism_comparison_v3_expanded_strict_colors,stanford_cars_clean_strict_colors_v3,the main car,primary body color,reviewed,black,,white,primary,C4_stronger_open_conflict,4,primary_conditions_v2_strict_colors,"A report repeatedly refers to the main car as white, and the answer should name the main car's primary body color seen in the image. Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,"Open-answer prompt with a more salient conflict-color framing, but no forced answer space.",internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.8486,black,ok,,
test_03550_A1_forced_choice_red_family,test_03550,test_03550.jpg,data/processed/stanford_cars/clean_crops/test_03550.jpg,data/raw/stanford_cars/cars_test/03550.jpg,car_color_prompt_mechanism_comparison_v3_expanded_strict_colors,stanford_cars_clean_strict_colors_v3,the main car,primary body color,reviewed,black,,white,auxiliary,A1_forced_choice_red_family,5,auxiliary_conditions_v2_strict_colors,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {white, off-white, bright white}. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",yes,Restricted answer space around the conflict-color family.,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.8811,black,ok,,
test_03550_A2_counterfactual_assumption,test_03550,test_03550.jpg,data/processed/stanford_cars/clean_crops/test_03550.jpg,data/raw/stanford_cars/cars_test/03550.jpg,car_color_prompt_mechanism_comparison_v3_expanded_strict_colors,stanford_cars_clean_strict_colors_v3,the main car,primary body color,reviewed,black,,white,auxiliary,A2_counterfactual_assumption,6,auxiliary_conditions_v2_strict_colors,"Assuming the main car is in the white family, choose exactly one label from {white, off-white, bright white}. Do not explain. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",yes,Counterfactual continuation that explicitly preserves the false color premise.,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.7820,white,ok,,
test_03550_C0_neutral,test_03550,test_03550.jpg,data/processed/stanford_cars/clean_crops/test_03550.jpg,data/raw/stanford_cars/cars_test/03550.jpg,car_color_prompt_mechanism_comparison_v3_expanded_strict_colors,stanford_cars_clean_strict_colors_v3,the main car,primary body color,reviewed,black,,white,primary,C0_neutral,0,primary_conditions_v2_strict_colors,"What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,Neutral open-answer prompt about the main car's primary body color.,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.8371,black,ok,,
test_03550_C1_weak_suggestion,test_03550,test_03550.jpg,data/processed/stanford_cars/clean_crops/test_03550.jpg,data/raw/stanford_cars/cars_test/03550.jpg,car_color_prompt_mechanism_comparison_v3_expanded_strict_colors,stanford_cars_clean_strict_colors_v3,the main car,primary body color,reviewed,black,,white,primary,C1_weak_suggestion,1,primary_conditions_v2_strict_colors,"Some people might describe the main car as white. What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,Open-answer prompt with a light suggestion toward the conflict color.,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.8015,black,ok,,
test_03550_C2_false_assertion_open,test_03550,test_03550.jpg,data/processed/stanford_cars/clean_crops/test_03550.jpg,data/raw/stanford_cars/cars_test/03550.jpg,car_color_prompt_mechanism_comparison_v3_expanded_strict_colors,stanford_cars_clean_strict_colors_v3,the main car,primary body color,reviewed,black,,white,primary,C2_false_assertion_open,2,primary_conditions_v2_strict_colors,"A prior note says the main car is white. What is the primary body color of the main car in the image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,"Open-answer prompt that states an incorrect color claim, then asks for the actual color.",internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.7994,black,ok,,
test_03550_C3_presupposition_correction_allowed,test_03550,test_03550.jpg,data/processed/stanford_cars/clean_crops/test_03550.jpg,data/raw/stanford_cars/cars_test/03550.jpg,car_color_prompt_mechanism_comparison_v3_expanded_strict_colors,stanford_cars_clean_strict_colors_v3,the main car,primary body color,reviewed,black,,white,primary,C3_presupposition_correction_allowed,3,primary_conditions_v2_strict_colors,"When the main car is described as white, what color does the main car actually appear to be in the image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,Open-answer prompt with a false presupposition while leaving room for correction.,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.7915,black,ok,,
test_03550_C4_stronger_open_conflict,test_03550,test_03550.jpg,data/processed/stanford_cars/clean_crops/test_03550.jpg,data/raw/stanford_cars/cars_test/03550.jpg,car_color_prompt_mechanism_comparison_v3_expanded_strict_colors,stanford_cars_clean_strict_colors_v3,the main car,primary body color,reviewed,black,,white,primary,C4_stronger_open_conflict,4,primary_conditions_v2_strict_colors,"A report repeatedly refers to the main car as white, and the answer should name the main car's primary body color seen in the image. Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,"Open-answer prompt with a more salient conflict-color framing, but no forced answer space.",internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.7865,black,ok,,
