relative_path,snapshot_exists,current_exists,snapshot_sha256,current_sha256,status,blocking,note
data/balanced_eval_set/appendix_stanford_core_excluded.csv,True,True,a47852c76bac6593bce213478a80481c15e3173d86729b57360e9f891782ba3e,a47852c76bac6593bce213478a80481c15e3173d86729b57360e9f891782ba3e,match,True,Canonical artifact matched.
data/balanced_eval_set/appendix_stanford_core_manifest.csv,True,True,8caf7a0c440e51004088d984e2317fad47ab83797b1c01ed75ae75af66ac8f73,8caf7a0c440e51004088d984e2317fad47ab83797b1c01ed75ae75af66ac8f73,match,True,Canonical artifact matched.
data/balanced_eval_set/final_manifest.csv,True,True,88aea6591f5fe258f645c45f0d9bbb3eab9d96a69b58de49c5aa6c9a36a7c5af,88aea6591f5fe258f645c45f0d9bbb3eab9d96a69b58de49c5aa6c9a36a7c5af,match,True,Canonical artifact matched.
data/metadata/balanced_eval_set/balanced_eval_set_color_by_source.csv,True,True,19745ce1a87220358af115f426ae7443c7bc748546ed36680955bfef632f06da,19745ce1a87220358af115f426ae7443c7bc748546ed36680955bfef632f06da,match,True,Canonical artifact matched.
data/metadata/balanced_eval_set/balanced_eval_set_summary.csv,True,True,53460b3434ebf98fad1b0f2087c744eb43ca22c316d5fe7ad678ddb36c4e2e7b,53460b3434ebf98fad1b0f2087c744eb43ca22c316d5fe7ad678ddb36c4e2e7b,match,True,Canonical artifact matched.
data/metadata/balanced_eval_set/balanced_eval_set_summary.json,True,True,b7671eb034719ec3b789b975a19f468485690bbb9037d6633a5ddbe55e57f69d,b7671eb034719ec3b789b975a19f468485690bbb9037d6633a5ddbe55e57f69d,match,True,Canonical artifact matched.
data/metadata/balanced_eval_set/cleaning_rules.md,True,True,c145119c61ed3f898ccd278f82b6b53503532b7380976bc8708317b2d1b9a961,c145119c61ed3f898ccd278f82b6b53503532b7380976bc8708317b2d1b9a961,match,True,Canonical artifact matched.
data/metadata/balanced_eval_set/dataset_distribution.csv,True,True,52c9bd4d6429885431dccb209cff684377c84eb60d5f254566f9248854a336f9,52c9bd4d6429885431dccb209cff684377c84eb60d5f254566f9248854a336f9,match,True,Canonical artifact matched.
data/metadata/balanced_eval_set/source_dataset_breakdown.csv,True,True,fb2d712bfd4261e2d8c5c16c5216c37ff97a89ccb83d2ff11d477d9ff8d27b97,fb2d712bfd4261e2d8c5c16c5216c37ff97a89ccb83d2ff11d477d9ff8d27b97,match,True,Canonical artifact matched.
prompts/a1_a2/a1_a2_prompts.csv,True,True,268fc3691c9209516e84999e658e37bf3224db272e4eaa626e0ecc56b6bcc942,268fc3691c9209516e84999e658e37bf3224db272e4eaa626e0ecc56b6bcc942,match,True,Canonical artifact matched.
prompts/c0_c4/c0_baseline_prompts.csv,True,True,1d2c2443f3aa70f04987429c6281ab2ee2f894e1ac812b5101e588c3fd1448bd,1d2c2443f3aa70f04987429c6281ab2ee2f894e1ac812b5101e588c3fd1448bd,match,True,Canonical artifact matched.
prompts/c0_c4/main_c0_c4_prompts.csv,True,True,8e7809c3a77591822db0fb5327c9e61aa3151fd8ad4a4e8567ccd427ebe0b8a9,8e7809c3a77591822db0fb5327c9e61aa3151fd8ad4a4e8567ccd427ebe0b8a9,match,True,Canonical artifact matched.
prompts/c0_c4/main_c1_c4_prompts.csv,True,True,c36dd016f6cbbc4fd98acb2f84ad7c040c09fdd6c5955991906fbe12b31bbff9,c36dd016f6cbbc4fd98acb2f84ad7c040c09fdd6c5955991906fbe12b31bbff9,match,True,Canonical artifact matched.
prompts/c0_c4/smoke_prompts.csv,True,True,9fc1cad90a7b9828c227857b1148508c29a9b8b52ee9ac10c0a6964485bacb84,9fc1cad90a7b9828c227857b1148508c29a9b8b52ee9ac10c0a6964485bacb84,match,True,Canonical artifact matched.
prompts/robustness/c3_prompt_variants.csv,True,True,fc5a232e468bbca0b52fe1fe975b011b22bfe82f6afa211e91feac4f14bed379,fc5a232e468bbca0b52fe1fe975b011b22bfe82f6afa211e91feac4f14bed379,match,True,Canonical artifact matched.
results/appendix/dataset_distribution.md,True,True,8f11e344499205669da99f86653938c7fbb2c5cd55a82f3f3208d3a7035a0d6d,8f11e344499205669da99f86653938c7fbb2c5cd55a82f3f3208d3a7035a0d6d,match,True,Canonical artifact matched.
results/appendix/dataset_distribution.png,True,True,6ae1b7addb48196c17e515dcde5478f04212c07c46137a2471ad297dc938e984,6ae1b7addb48196c17e515dcde5478f04212c07c46137a2471ad297dc938e984,match,True,Canonical artifact matched.
results/appendix/dataset_distribution_table.csv,True,True,52c9bd4d6429885431dccb209cff684377c84eb60d5f254566f9248854a336f9,52c9bd4d6429885431dccb209cff684377c84eb60d5f254566f9248854a336f9,match,True,Canonical artifact matched.
results/appendix/figure_manifest.json,True,True,d990927b9772cea804f457af5f4d5a8ef68c4b232bdbbfb1434e0597c4187df6,d990927b9772cea804f457af5f4d5a8ef68c4b232bdbbfb1434e0597c4187df6,match,True,Canonical artifact matched.
results/appendix/stanford_core_sanity_check.csv,True,True,177a61a6ae43124c538133e203d444904bec5deeb803b59d40fadb2066ff5be1,177a61a6ae43124c538133e203d444904bec5deeb803b59d40fadb2066ff5be1,match,True,Canonical artifact matched.
results/appendix/stanford_core_sanity_check.md,True,True,036bb20e841461366ab98a1607cc69715581b97e2e806b78e5c1b2ccca8b479d,036bb20e841461366ab98a1607cc69715581b97e2e806b78e5c1b2ccca8b479d,match,True,Canonical artifact matched.
results/appendix/stanford_core_to_balanced_counts.csv,True,True,34b3dbc00afa34d2418c5257ce920a2a48d654a40d6452416c1119cdc34c8fb6,34b3dbc00afa34d2418c5257ce920a2a48d654a40d6452416c1119cdc34c8fb6,match,True,Canonical artifact matched.
results/appendix/stanford_core_to_balanced_counts.md,True,True,4033e3060647be6f0cdff3089e0e1380508bce746b8e5f736be6e55dffe56800,4033e3060647be6f0cdff3089e0e1380508bce746b8e5f736be6e55dffe56800,match,True,Canonical artifact matched.
results/auxiliary/aux_combined_parsed_results.csv,True,True,dcd104ae891f4711fce3cf3c1233470a51b1564c1cc5cbaf45176bfe843d8bf2,dcd104ae891f4711fce3cf3c1233470a51b1564c1cc5cbaf45176bfe843d8bf2,match,True,Canonical artifact matched.
results/auxiliary/aux_condition_metrics.csv,True,True,8646e496f4a290b3fbeaa820bc2432ccf57d14f49325d640921266682429a775,8646e496f4a290b3fbeaa820bc2432ccf57d14f49325d640921266682429a775,match,True,Canonical artifact matched.
results/auxiliary/aux_exact_tests.csv,True,True,f9abf12a8fc50b52569c72ffc813153f4cdbd52efdeccd81ffee4d46ee7e0f28,f9abf12a8fc50b52569c72ffc813153f4cdbd52efdeccd81ffee4d46ee7e0f28,match,True,Canonical artifact matched.
results/auxiliary/aux_summary.md,True,True,620997ea532fbc72205ad45f9e8c3c2b5bae825f916b5ae2b9ff4240bd00f450,620997ea532fbc72205ad45f9e8c3c2b5bae825f916b5ae2b9ff4240bd00f450,match,True,Canonical artifact matched.
results/auxiliary/table3_aux_metrics.csv,True,True,f1b60347511c2f896f419602b73b8b44eea2c309c2b0a0befe3561e7890247cf,f1b60347511c2f896f419602b73b8b44eea2c309c2b0a0befe3561e7890247cf,match,True,Canonical artifact matched.
results/auxiliary/table3_aux_metrics.md,True,True,dc1a889337b21a388b0130d97b3bfc8577cad89bb5daa554a6366342e26cb4a3,dc1a889337b21a388b0130d97b3bfc8577cad89bb5daa554a6366342e26cb4a3,match,True,Canonical artifact matched.
results/baseline/baseline_combined_parsed_results.csv,True,True,c027c6036949897b4a1df93865a302f26b56fa36f233580adf564edd9fa6b137,c027c6036949897b4a1df93865a302f26b56fa36f233580adf564edd9fa6b137,match,True,Canonical artifact matched.
results/baseline/baseline_condition_metrics.csv,True,True,2e1eb7cb4f95e990700e5a57b9c12f858db7bfbe376e197efc9275c82adae9ef,2e1eb7cb4f95e990700e5a57b9c12f858db7bfbe376e197efc9275c82adae9ef,match,True,Canonical artifact matched.
results/baseline/baseline_exact_tests.csv,True,True,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,match,True,Canonical artifact matched.
results/baseline/baseline_summary.md,True,True,373ef708ffe8b5c41fde95ded54bec58fc99f6698cab238f6eabb59806a396c7,373ef708ffe8b5c41fde95ded54bec58fc99f6698cab238f6eabb59806a396c7,match,True,Canonical artifact matched.
results/final_result_summary.md,True,True,8e6854b0b3bad3f85dd0d4d58bd7b009c387216e6016cda6311cec4ccc57205d,e754ba615f99a2cf5d11001510952ad0b2507e0676e50b67ae1df429e392fb97,different,True,Canonical artifact differs from the locked snapshot.
results/main/figure2_conflict_aligned_rates.png,True,True,f97e40e9562d770a9bad5743578faccf23d24551f58564b3bb55a605846bdabf,f97e40e9562d770a9bad5743578faccf23d24551f58564b3bb55a605846bdabf,match,True,Canonical artifact matched.
results/main/main_combined_parsed_results.csv,True,True,13c48f02ef759cf05ecaf4f262bf292c20dcc42979c9b5a4324550618981be43,13c48f02ef759cf05ecaf4f262bf292c20dcc42979c9b5a4324550618981be43,match,True,Canonical artifact matched.
results/main/main_condition_metrics.csv,True,True,f4cdc107c4e2c3894991537b48b60437bce50e62ca06377d2b22ebf863d86d27,f4cdc107c4e2c3894991537b48b60437bce50e62ca06377d2b22ebf863d86d27,match,True,Canonical artifact matched.
results/main/main_exact_tests.csv,True,True,cd33e93f777399a1fe9816eed04fa6492cda4b604f230b88ac9e0dc9cf6fef3f,cd33e93f777399a1fe9816eed04fa6492cda4b604f230b88ac9e0dc9cf6fef3f,match,True,Canonical artifact matched.
results/main/main_key_tests.csv,True,True,569e743dda818b3a7849710b62717b52ff95680b9109b57955970ab7d45fdaf0,569e743dda818b3a7849710b62717b52ff95680b9109b57955970ab7d45fdaf0,match,True,Canonical artifact matched.
results/main/main_stats_summary.md,True,True,f34632d9bf09cff1ec9cf3634a12134f86792125e72cd397f9d146358cf4f712,f34632d9bf09cff1ec9cf3634a12134f86792125e72cd397f9d146358cf4f712,match,True,Canonical artifact matched.
results/main/main_summary.md,True,True,575d71d3b302bb14039636c461829437fcba14faea92719462e7af2179492dd2,575d71d3b302bb14039636c461829437fcba14faea92719462e7af2179492dd2,match,True,Canonical artifact matched.
results/main/table1_main_metrics.csv,True,True,847217f73a1f7f5a60d6406397480defe383292e48359e112c099180bc4bd387,847217f73a1f7f5a60d6406397480defe383292e48359e112c099180bc4bd387,match,True,Canonical artifact matched.
results/main/table1_main_metrics.md,True,True,a5ed44a915dfc2069ad0f6c69c2447b244cb2cfacd8eafec446aeb567f45bdb1,a5ed44a915dfc2069ad0f6c69c2447b244cb2cfacd8eafec446aeb567f45bdb1,match,True,Canonical artifact matched.
results/parser/ambiguous_outputs_sample.csv,True,True,73740be20b543ce260176e6bcb6807806e8124a196dd0849b0b00dc0a2b2b18b,73740be20b543ce260176e6bcb6807806e8124a196dd0849b0b00dc0a2b2b18b,match,True,Canonical artifact matched.
results/parser/label_mapping_audit.md,True,True,8846c5cbd0b1803f1ee2a10fac8256b8ba875de15967bed7f372a8d32683621d,8846c5cbd0b1803f1ee2a10fac8256b8ba875de15967bed7f372a8d32683621d,match,True,Canonical artifact matched.
results/parser/label_mapping_audit_table.csv,True,True,094ed407d7967c6132425d317a0280134272b395487c03d017857fa648304c73,094ed407d7967c6132425d317a0280134272b395487c03d017857fa648304c73,match,True,Canonical artifact matched.
results/robustness/prompt_variant_combined_parsed_results.csv,True,True,2e15485722aec1c5b56f5599e7fddf0d5265b03512415f1f6664372b5463d58d,2e15485722aec1c5b56f5599e7fddf0d5265b03512415f1f6664372b5463d58d,match,True,Canonical artifact matched.
results/robustness/prompt_variant_exact_tests.csv,True,True,2dd8142b47f188f5d32d6e37089c8bf47f306ccf84d68905656ace17052c35e5,2dd8142b47f188f5d32d6e37089c8bf47f306ccf84d68905656ace17052c35e5,match,True,Canonical artifact matched.
results/robustness/prompt_variant_metrics.csv,True,True,e79e76e5d52e213e46a9a21a6321199ba79a01f2cf93162fe0eebdc1763951a6,e79e76e5d52e213e46a9a21a6321199ba79a01f2cf93162fe0eebdc1763951a6,match,True,Canonical artifact matched.
results/robustness/prompt_variant_summary.json,True,True,0f8553eb047474d9bedf1c1be8ad1fe67f5aa7ead6c1682da2d12070c4c0c807,0f8553eb047474d9bedf1c1be8ad1fe67f5aa7ead6c1682da2d12070c4c0c807,match,True,Canonical artifact matched.
results/robustness/prompt_variant_summary.md,True,True,ff89f8a5d1f0c338b157fa46cb43d5dfeb5a4f89aa73b3a1738dabcc781285f5,ff89f8a5d1f0c338b157fa46cb43d5dfeb5a4f89aa73b3a1738dabcc781285f5,match,True,Canonical artifact matched.
